Branch_Type,Branch_ID,Size,Arguments
# Debate File:,9812_T1of1_9812.1.json,,
# Target Argument:,9812.1,,
# Total Branches:,48,,

Pro-branch,Pb1,71,"9812.103,9812.449,9812.310,9812.1322,9812.312,9812.209,9812.457,9812.1369,9812.411,9812.616,9812.123,9812.957,9812.589,9812.403,9812.908,9812.1029,9812.793,9812.279,9812.26,9812.115,9812.757,9812.1357,9812.1355,9812.302,9812.608,9812.146,9812.763,9812.261,9812.1169,9812.684,9812.463,9812.34,9812.199,9812.674,9812.150,9812.419,9812.741,9812.1220,9812.470,9812.292,9812.1218,9812.1216,9812.429,9812.507,9812.195,9812.810,9812.427,9812.1068,9812.1066,9812.642,9812.191,9812.36,9812.497,9812.1212,9812.1210,9812.626,9812.5,9812.1249,9812.1259,9812.1253,9812.652,9812.461,9812.480,9812.4,9812.437,9812.739,9812.737,9812.733,9812.85,9812.1128,9812.169"
Pro-branch,Pb2,64,"9812.108,9812.550,9812.1195,9812.1200,9812.1198,9812.357,9812.587,9812.1208,9812.1206,9812.158,9812.891,9812.478,9812.1202,9812.537,9812.160,9812.1204,9812.716,9812.555,9812.125,9812.699,9812.601,9812.1141,9812.1157,9812.1097,9812.255,9812.632,9812.503,9812.359,9812.824,9812.257,9812.682,9812.743,9812.385,9812.1186,9812.1347,9812.1345,9812.1184,9812.152,9812.915,9812.156,9812.361,9812.355,9812.154,9812.3,9812.1180,9812.585,9812.39,9812.1188,9812.1193,9812.1191,9812.95,9812.610,9812.545,9812.1342,9812.1340,9812.885,9812.690,9812.539,9812.965,9812.749,9812.969,9812.967,9812.963,9812.745"
Con-branch,Cb1,38,"9812.6,9812.724,9812.569,9812.1306,9812.1304,9812.722,9812.1278,9812.1276,9812.30,9812.1308,9812.705,9812.130,9812.1351,9812.827,9812.1255,9812.1292,9812.1064,9812.185,9812.217,9812.399,9812.1270,9812.1266,9812.93,9812.371,9812.1336,9812.1334,9812.489,9812.447,9812.1332,9812.1330,9812.1328,9812.1326,9812.308,9812.1319,9812.646,9812.241,9812.379,9812.491"
Con-branch,Cb2,68,"9812.120,9812.779,9812.298,9812.1359,9812.1236,9812.1173,9812.1230,9812.1242,9812.1264,9812.1246,9812.1232,9812.1257,9812.1240,9812.1226,9812.1234,9812.791,9812.1080,9812.239,9812.1288,9812.1286,9812.162,9812.133,9812.395,9812.1025,9812.142,9812.772,9812.397,9812.776,9812.774,9812.1290,9812.1251,9812.137,9812.1284,9812.228,9812.197,9812.173,9812.948,9812.1282,9812.1280,9812.1261,9812.518,9812.1102,9812.696,9812.249,9812.534,9812.1338,9812.1113,9812.205,9812.1171,9812.433,9812.306,9812.28,9812.1027,9812.1274,9812.1272,9812.658,9812.337,9812.1104,9812.365,9812.719,9812.322,9812.271,9812.959,9812.273,9812.1312,9812.1310,9812.435,9812.961"
Unweakened Pro-branch,UnWPb1,15,"9812.103,9812.34,9812.199,9812.150,9812.419,9812.36,9812.1212,9812.1210,9812.5,9812.652,9812.480,9812.4,9812.437,9812.739,9812.737"
Unweakened Pro-branch,UnWPb2,13,"9812.108,9812.125,9812.699,9812.1141,9812.1097,9812.385,9812.1184,9812.39,9812.1188,9812.1191,9812.95,9812.610,9812.690"
